drug_name,dili_label,severity,injury_type,evidence_count,clinical_liver_risk_score
desvenlafaxine succinate,,3.0,,,3.0
deucravacitinib,,,E*,431,
deuruxolitinib,,,E*,432,
deuruxolitinib,,,E*,433,
deutetrabenazine,,0.0,E,434,0.0
deutivacaftor,,,,435,
dexamethasone,,3.0,A [HD],436,3.0
dexbrompheniramine,0.0,,E,437,
dexbrompheniramine maleate,,0.0,,,0.0
dexchlorpheniramine,0.0,,E,438,
dexchlorpheniramine maleate,,0.0,,,0.0
dexketoprofen,1.0,,,,
dexlansoprazole,1.0,4.0,C,439,4.0
dexmedetomidine hydrochloride,,4.0,,,4.0
dexmethylphenidate,1.0,,C[HD],440,
dexmethylphenidate hydrochloride,,7.0,,,7.0
dexpanthenol,0.0,0.0,,,0.0
dexrazoxane hydrochloride,,4.0,,,4.0
dextroamphetamine,0.0,,E*,441,
dextroamphetamine sulfate,,0.0,,,0.0
dextromethorphan,0.0,,,,
dextromethorphan polistirex,,0.0,,,0.0
dextrose,0.0,0.0,,,0.0
dextrothyroxine,,,E*,442,
diacerein,1.0,,,,
diacetoxydiphenolisatin,1.0,,,,
diatrizoate,0.0,,,,
diatrizoate sodium,,0.0,,,0.0
diazepam,0.0,4.0,,,4.0
"diazepam, intravenous",,,E,443,
"diazepam, oral",,,D,444,
diazoxide,,3.0,,,3.0
dichloralphenazone,,,E,445,
dichlorphenamide,0.0,0.0,,,0.0
diclofenac,1.0,,A,446,
diclofenac sodium,,8.0,,,8.0
dicloxacillin,1.0,,B,447,
dicloxacillin sodium,,3.0,,,3.0
dicoumarol,1.0,,,,
dicyclomine,0.0,,E,448,
dicyclomine hydrochloride,,0.0,,,0.0
didanosine,1.0,8.0,A,449,8.0
dienestrol,,,A,450,
dienogestrol,,,A,451,
diethylcarbamazine,1.0,,,,
diethylpropion,0.0,,E,452,
diethylpropion hydrochloride,,0.0,,,0.0
difelikefalin acetate,,0.0,E,453,0.0
difenoxin,,,X,454,
diflunisal,1.0,8.0,C,455,8.0
digitoxin,,,E,456,
